model_id,example_id,source_length_without_eos,source_length_with_eos,hypothesis_length,gate_values,gate_mean,gate_min,gate_max,gate_range,source,hypothesis,reference
gated_attention,1,10,11,10,10,0.7143865764141083,0.6776741743087769,0.7680621147155762,0.09038794040679932,a man in an orange hat starring at something .,ein mann mit einem orangefarbenen hut starrt etwas an .,"ein mann mit einem orangefarbenen hut , der etwas anstarrt ."
gated_attention,2,16,17,11,12,0.6831034421920776,0.5994956493377686,0.7419450283050537,0.14244937896728516,a boston terrier is running on lush green grass in front of a white fence .,ein rennt auf einem grünen zaun vor einem weißen zaun .,ein boston terrier läuft über saftig - grünes gras vor einem weißen zaun .
gated_attention,3,13,14,11,13,0.699502325974978,0.6332253217697144,0.7653698325157166,0.1321445107460022,a girl in karate uniform breaking a stick with a front kick .,ein mädchen in kleidung posiert auf einem stock vor einem .,ein mädchen in einem karateanzug bricht ein brett mit einem tritt .
gated_attention,4,18,19,17,18,0.698211799065272,0.6340658664703369,0.7643600702285767,0.13029420375823975,"five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .",fünf menschen in kleidung und mit helmen befinden sich im schnee und im hintergrund befinden sich .,fünf leute in winterjacken und mit helmen stehen im schnee mit schneemobilen im hintergrund .
gated_attention,5,26,27,23,25,0.704450147151947,0.6477349996566772,0.7683764696121216,0.12064146995544434,a man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .,"ein mann in bunt kleidung kleidung einer gruppe von farbenfrohen jacken in farbenfrohen kostümen und hüten , die in einer kleidung trägt .","ein hell gekleideter mann fotografiert eine gruppe von männern in dunklen anzügen und mit hüten , die um eine frau in einem trägerlosen kleid herum stehen ."
gated_attention,6,11,12,8,9,0.7045216096772088,0.624174952507019,0.7392556071281433,0.11508065462112427,a group of people standing in front of an igloo .,eine gruppe von menschen steht vor einem .,eine gruppe von menschen steht vor einem iglu .
gated_attention,7,29,30,26,27,0.6970834047706039,0.6573702096939087,0.7579793930053711,0.1006091833114624,"a boy in a red uniform is attempting to avoid getting out at home plate , while the catcher in the blue uniform is attempting to catch him .","ein junge in einem roten trikot versucht den wurf zu gelangen , während ihn die wellen in blau - abzuwehren , um ihn zu berühren .","ein junge in einem roten trikot versucht , die home base zu erreichen , während der catcher im blauen trikot versucht , ihn zu fangen ."
gated_attention,8,14,15,14,14,0.7208638404096875,0.6611724495887756,0.7760640978813171,0.1148916482925415,a man in a vest is sitting in a chair and holding magazines .,ein mann in einer weste sitzt da in einem stuhl und hält zeitschriften .,ein mann in einer weste sitzt auf einem stuhl und hält magazine .
gated_attention,9,12,13,10,11,0.696082819591869,0.6484471559524536,0.7471261024475098,0.09867894649505615,a mother and her young song enjoying a beautiful day outside .,eine mutter und ihre kinder genießen einen tag draußen .,eine mutter und ihr kleiner sohn genießen einen schönen tag im freien .
gated_attention,10,17,18,19,19,0.6972923059212534,0.6475337743759155,0.7671510577201843,0.1196172833442688,"men playing volleyball , with one player missing the ball but hands still in the air .","männer spielen volleyball , während ein spieler der gegnerischen mannschaft in ballbesitz ist , den ball zu fangen .","männer , die volleyball spielen , wobei ein mann den ball nicht trifft , während seine hände immer noch in der luft sind ."
gated_attention,11,11,12,13,13,0.6874922926609333,0.6352639198303223,0.768265426158905,0.13300150632858276,a woman holding a bowl of food in a kitchen .,"eine frau , die eine schüssel in einer küche mit essen rührt .","eine frau , die in einer küche eine schale mit essen hält ."
gated_attention,12,11,12,9,10,0.698479288816452,0.6311171054840088,0.7604893445968628,0.129372239112854,man sitting using tool at a table in his home .,ein mann sitzt auf einem tisch in seiner .,"ein sitzender mann , der an einem tisch in seinem haus mit einem werkzeug arbeitet ."
