case_id,test_index,selection_reason,source_length,bucket,rare_source_tokens,source,reference,lstm_no_attention_greedy,lstm_attention_selected,gated_attention_selected,transformer_selected,lstm_no_attention_greedy_token_f1,lstm_attention_selected_token_f1,gated_attention_selected_token_f1,transformer_selected_token_f1,f1_spread,best_model_by_token_f1,worst_model_by_token_f1,error_tags,notes
1,848,high model disagreement,9,1-10,en judged,a gymnast is being judged at en event .,eine turnerin wird bei einer veranstaltung beurteilt .,eine zeigt bei einer veranstaltung .,eine turnerin macht .,ein turner wartet auf .,eine turnerin wird bei einer bei einem .,0.6666666666666666,0.4,0.0,0.7142857142857143,0.7142857142857143,transformer_selected,gated_attention_selected,rare word; fluent but incomplete,Best by token F1: transformer_selected; worst: gated_attention_selected; selected for high model disagreement.
2,473,high model disagreement,10,1-10,,a man fixing a little girl ' s bicycle .,ein mann repariert das fahrrad eines kleinen mädchens .,ein mann schneidet einem kleinen mädchen das essen .,ein mann fährt ein kleines mädchen das fahrrad .,ein mann bedient ein kleines mädchen .,ein mann repariert das fahrrad eines kleinen mädchens .,0.5,0.5,0.28571428571428575,1.0,0.7142857142857142,transformer_selected,gated_attention_selected,action error; correct/paraphrase,Best by token F1: transformer_selected; worst: gated_attention_selected; selected for high model disagreement.
3,5,high model disagreement,9,1-10,,people are fixing the roof of a house .,leute reparieren das dach eines hauses .,leute machen sich von einem gebäude auf dem wasser .,leute ziehen das dach eines hauses .,leute führen das dach eines hauses .,mehrere personen reparieren das dach eines hauses .,0.13333333333333333,0.8333333333333334,0.8333333333333334,0.7692307692307692,0.7000000000000001,lstm_attention_selected,lstm_no_attention_greedy,action error; correct/paraphrase,Best by token F1: lstm_attention_selected; worst: lstm_no_attention_greedy; selected for high model disagreement.
4,115,high model disagreement,8,1-10,,two indian men participating in a ceremony .,zwei indische männer nehmen an einer zeremonie teil .,zwei männer sich in einem laden .,zwei indische männer nehmen an einem laden teil .,zwei indische männer nehmen an einem teil .,zwei indische männer nehmen an einer zeremonie teil .,0.3333333333333333,0.7142857142857143,0.7692307692307692,1.0,0.6666666666666667,transformer_selected,lstm_no_attention_greedy,correct/paraphrase,Best by token F1: transformer_selected; worst: lstm_no_attention_greedy; selected for high model disagreement.
5,949,high model disagreement,8,1-10,,people playing a game in the pool .,leute spielen ein spiel im pool .,leute spielen in einem spiel im spiel .,menschen spielen ein spiel im pool .,leute spielen in einem spiel im sand .,menschen spielen in einem schwimmbecken .,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.2,0.6333333333333333,lstm_attention_selected,transformer_selected,action error; correct/paraphrase,Best by token F1: lstm_attention_selected; worst: transformer_selected; selected for high model disagreement.
6,192,high model disagreement,12,11-20,,a man next to a bicycle is playing a pan flute .,ein mann spielt neben einem fahrrad panflöte .,"ein mann , der einen - wagen trägt , macht eine pause .",ein mann neben einem fahrrad spielt ein instrument .,ein mann neben einem fahrrad spielt flöte .,ein mann spielt neben einem ungewöhnlichen fahrrad .,0.25,0.7999999999999999,0.8571428571428571,0.8571428571428571,0.6071428571428571,gated_attention_selected,lstm_no_attention_greedy,correct/paraphrase,Best by token F1: gated_attention_selected; worst: lstm_no_attention_greedy; selected for high model disagreement.
7,44,high model disagreement,14,11-20,,a kid swings with his feet up in the air in a forest .,ein junge schaukelt mit den füßen in der luft in einem wald .,ein kind steckt seine füße in einem park mit seinem maul .,ein kind schwimmt mit seinem kopf in einem wald in die luft .,ein kind steckt mit seinem sohn in einem wald in die luft .,ein kind schaukelt in einem wald mit den füßen in der luft .,0.3,0.5,0.5,0.9,0.6000000000000001,transformer_selected,lstm_no_attention_greedy,correct/paraphrase,Best by token F1: transformer_selected; worst: lstm_no_attention_greedy; selected for high model disagreement.
8,584,high model disagreement,12,11-20,families,military families are marching through new york on a rainy day .,militärangehörige marschieren an einem regnerischen tag durch new york .,gehen in der nacht auf einer durch einen überfüllten freiluftmarkt .,hier sind durch aufgehängt auf einem geschäftigen markt .,sind an einem kalten tag durch san francisco .,soldaten laufen an einem regnerischen tag durch einen new york .,0.11764705882352941,0.25,0.39999999999999997,0.7058823529411765,0.5882352941176471,transformer_selected,lstm_no_attention_greedy,rare word,Best by token F1: transformer_selected; worst: lstm_no_attention_greedy; selected for high model disagreement.
9,654,high model disagreement,14,11-20,,music being played by several individuals while a happy crowd sits and listens .,mehrere personen spielen musik während eine gut gelaunte menge sitzt und zuhört .,"es sind draußen versammelt , umgeben von personen und sitzen umgeben von einer bank .","eine wird von mehreren , während ein paar erwachsene herumstehen und .","eine menschenmenge wird von mehreren männern gezeigt , die von einer getragen .","eine menschenmenge sitzt und hört musik , während mehrere personen .",0.16,0.2727272727272727,0.08695652173913043,0.6666666666666666,0.5797101449275361,transformer_selected,gated_attention_selected,repetition,Best by token F1: transformer_selected; worst: gated_attention_selected; selected for high model disagreement.
10,141,high model disagreement,8,1-10,fox,a fox terrier leaps after a ball .,ein foxterrier springt nach einem ball .,ein fängt einen ball beim fangen .,ein springt mit einem ball .,ein springt nach einem ball .,ein springt nach einem ball nach einem ball .,0.3333333333333333,0.7272727272727272,0.9090909090909091,0.7142857142857143,0.5757575757575757,gated_attention_selected,lstm_no_attention_greedy,rare word; repetition; correct/paraphrase,Best by token F1: gated_attention_selected; worst: lstm_no_attention_greedy; selected for high model disagreement.
