example_id,step,token,source_length_without_eos,gate_value
1,1,ein,10,0.6776741743087769
1,2,mann,10,0.7462600469589233
1,3,mit,10,0.7680621147155762
1,4,einem,10,0.7523479461669922
1,5,orangefarbenen,10,0.7413676977157593
1,6,hut,10,0.7175207138061523
1,7,starrt,10,0.681256890296936
1,8,etwas,10,0.6950709819793701
1,9,an,10,0.6842872500419617
1,10,.,10,0.6800179481506348
2,1,ein,16,0.6633848547935486
2,2,rennt,16,0.7419450283050537
2,3,auf,16,0.7373218536376953
2,4,einem,16,0.7351635694503784
2,5,grünen,16,0.6896532773971558
2,6,zaun,16,0.6950302124023438
2,7,vor,16,0.6879044771194458
2,8,einem,16,0.6503481268882751
2,9,weißen,16,0.6641210317611694
2,10,zaun,16,0.669929027557373
2,11,.,16,0.6629441976547241
2,12,<eos>,16,0.5994956493377686
3,1,ein,13,0.6928088068962097
3,2,mädchen,13,0.7653698325157166
3,3,in,13,0.7632669806480408
3,4,kleidung,13,0.7540518641471863
3,5,posiert,13,0.7105151414871216
3,6,auf,13,0.7241551280021667
3,7,einem,13,0.712815523147583
3,8,stock,13,0.6855276823043823
3,9,vor,13,0.6775559782981873
3,10,einem,13,0.6476868391036987
3,11,.,13,0.6625679135322571
3,12,<eos>,13,0.6639832258224487
3,13,<eos>,13,0.6332253217697144
4,1,fünf,18,0.6798102855682373
4,2,menschen,18,0.7641712427139282
4,3,in,18,0.7643600702285767
4,4,kleidung,18,0.7556570768356323
4,5,und,18,0.7156529426574707
4,6,mit,18,0.7398142218589783
4,7,helmen,18,0.7286912798881531
4,8,befinden,18,0.6964899301528931
4,9,sich,18,0.6926416754722595
4,10,im,18,0.6890601515769958
4,11,schnee,18,0.6995009183883667
4,12,und,18,0.6936652064323425
4,13,im,18,0.6622881293296814
4,14,hintergrund,18,0.6701197624206543
4,15,befinden,18,0.6495518684387207
4,16,sich,18,0.6340658664703369
4,17,.,18,0.6602012515068054
4,18,<eos>,18,0.6720705032348633
5,1,ein,26,0.6856107711791992
5,2,mann,26,0.7683764696121216
5,3,in,26,0.760786235332489
5,4,bunt,26,0.7574118375778198
5,5,kleidung,26,0.7275654673576355
5,6,kleidung,26,0.7202218770980835
5,7,einer,26,0.7278277277946472
5,8,gruppe,26,0.7249068021774292
5,9,von,26,0.7140102386474609
5,10,farbenfrohen,26,0.7142435312271118
5,11,jacken,26,0.714599609375
5,12,in,26,0.7092286944389343
5,13,farbenfrohen,26,0.7170564532279968
5,14,kostümen,26,0.7022871375083923
5,15,und,26,0.6956874132156372
5,16,hüten,26,0.7105473875999451
5,17,",",26,0.681505560874939
5,18,die,26,0.6950135231018066
5,19,in,26,0.6922999620437622
5,20,einer,26,0.690935492515564
5,21,kleidung,26,0.6877352595329285
5,22,trägt,26,0.6542379260063171
5,23,.,26,0.6477349996566772
5,24,<eos>,26,0.6525478363037109
5,25,<eos>,26,0.6588754653930664
6,1,eine,11,0.6838955879211426
6,2,gruppe,11,0.7392556071281433
6,3,von,11,0.7332359552383423
6,4,menschen,11,0.7259668111801147
6,5,steht,11,0.7290195226669312
6,6,vor,11,0.7158295512199402
6,7,einem,11,0.7009127140045166
6,8,.,11,0.6884037852287292
6,9,<eos>,11,0.624174952507019
7,1,ein,29,0.6677042841911316
7,2,junge,29,0.7579793930053711
7,3,in,29,0.755250096321106
7,4,einem,29,0.7433123588562012
7,5,roten,29,0.7253108024597168
7,6,trikot,29,0.7082712650299072
7,7,versucht,29,0.7008504867553711
7,8,den,29,0.7117065191268921
7,9,wurf,29,0.7132314443588257
7,10,zu,29,0.6857661008834839
7,11,gelangen,29,0.6887201070785522
7,12,",",29,0.6937414407730103
7,13,während,29,0.6912010908126831
7,14,ihn,29,0.7014727592468262
7,15,die,29,0.7134363055229187
7,16,wellen,29,0.704696774482727
7,17,in,29,0.6892430782318115
7,18,blau,29,0.6990940570831299
7,19,-,29,0.6855591535568237
7,20,abzuwehren,29,0.6707671880722046
7,21,",",29,0.6608604788780212
7,22,um,29,0.6573702096939087
7,23,ihn,29,0.6725510358810425
7,24,zu,29,0.6863488554954529
7,25,berühren,29,0.7025936841964722
7,26,.,29,0.6708480715751648
7,27,<eos>,29,0.6633648872375488
8,1,ein,14,0.6848081946372986
8,2,mann,14,0.7593296766281128
8,3,in,14,0.7760640978813171
8,4,einer,14,0.7733114957809448
8,5,weste,14,0.7584149241447449
8,6,sitzt,14,0.7196947336196899
8,7,da,14,0.7337955236434937
8,8,in,14,0.740519642829895
8,9,einem,14,0.7191722393035889
8,10,stuhl,14,0.7154226303100586
8,11,und,14,0.6836360692977905
8,12,hält,14,0.687041699886322
8,13,zeitschriften,14,0.6611724495887756
8,14,.,14,0.6797103881835938
9,1,eine,12,0.673882246017456
9,2,mutter,12,0.7471261024475098
9,3,und,12,0.7356402277946472
9,4,ihre,12,0.7395431995391846
9,5,kinder,12,0.7101414203643799
9,6,genießen,12,0.7149283289909363
9,7,einen,12,0.696699857711792
9,8,tag,12,0.6855664253234863
9,9,draußen,12,0.6496831774711609
9,10,.,12,0.6484471559524536
9,11,<eos>,12,0.6552528738975525
10,1,männer,17,0.6790978908538818
10,2,spielen,17,0.7671510577201843
10,3,volleyball,17,0.750851035118103
10,4,",",17,0.7405673861503601
10,5,während,17,0.7224604487419128
10,6,ein,17,0.7359312772750854
10,7,spieler,17,0.7246731519699097
10,8,der,17,0.7134401202201843
10,9,gegnerischen,17,0.6986241340637207
10,10,mannschaft,17,0.6892997622489929
10,11,in,17,0.675576388835907
10,12,ballbesitz,17,0.6852157115936279
10,13,ist,17,0.668084979057312
10,14,",",17,0.6675654649734497
10,15,den,17,0.6855167150497437
10,16,ball,17,0.6837095022201538
10,17,zu,17,0.6540879607200623
10,18,fangen,17,0.6591670513153076
10,19,.,17,0.6475337743759155
11,1,eine,11,0.7008603811264038
11,2,frau,11,0.768265426158905
11,3,",",11,0.7516099214553833
11,4,die,11,0.7233504056930542
11,5,eine,11,0.7058452367782593
11,6,schüssel,11,0.6915378570556641
11,7,in,11,0.6668553352355957
11,8,einer,11,0.669491708278656
11,9,küche,11,0.6740068197250366
11,10,mit,11,0.6352639198303223
11,11,essen,11,0.655465304851532
11,12,rührt,11,0.6474623680114746
11,13,.,11,0.6473851203918457
12,1,ein,11,0.6806249618530273
12,2,mann,11,0.7512593269348145
12,3,sitzt,11,0.7604893445968628
12,4,auf,11,0.7301908731460571
12,5,einem,11,0.7194734811782837
12,6,tisch,11,0.7078143954277039
12,7,in,11,0.6494100093841553
12,8,seiner,11,0.69188392162323
12,9,.,11,0.662529468536377
12,10,<eos>,11,0.6311171054840088
