model_id,example_id,source_length,hypothesis_length,attention_rows,attention_columns,attention_entropy_mean,attention_max_weight_mean,source,hypothesis,reference
lstm_attention,1,11,9,9,11,0.23181096093653566,0.904860085911221,a man in an orange hat starring at something .,ein mann mit orangefarbener kappe starrt etwas an .,"ein mann mit einem orangefarbenen hut , der etwas anstarrt ."
lstm_attention,2,17,11,12,17,0.5238928213798155,0.7935853203137716,a boston terrier is running on lush green grass in front of a white fence .,ein läuft vor einem weißen zaun auf einem grünen metallzaun .,ein boston terrier läuft über saftig - grünes gras vor einem weißen zaun .
lstm_attention,3,14,9,11,14,0.2507278884505624,0.9192531596530568,a girl in karate uniform breaking a stick with a front kick .,ein mädchen in winterkleidung macht eine mit einem .,ein mädchen in einem karateanzug bricht ein brett mit einem tritt .
lstm_attention,4,19,10,12,19,0.20644971221791952,0.9230973372856776,"five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .",fünf personen mit und helmen stehen im schnee und .,fünf leute in winterjacken und mit helmen stehen im schnee mit schneemobilen im hintergrund .
lstm_attention,5,27,21,24,27,0.5457873730678765,0.8090057137111822,a man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .,ein mann in kleidung spricht mit einer gruppe von männern in einem - kostüm und steht eine frau in einem .,"ein hell gekleideter mann fotografiert eine gruppe von männern in dunklen anzügen und mit hüten , die um eine frau in einem trägerlosen kleid herum stehen ."
lstm_attention,6,12,8,9,12,0.3212460515894893,0.8790225452846951,a group of people standing in front of an igloo .,eine gruppe von menschen steht vor einem .,eine gruppe von menschen steht vor einem iglu .
lstm_attention,7,30,24,25,30,0.6632996280221128,0.7709304988384247,"a boy in a red uniform is attempting to avoid getting out at home plate , while the catcher in the blue uniform is attempting to catch him .","ein junge in einem roten trikot versucht , den ball zu treffen , während der schiedsrichter in der nähe , ihn zu blocken .","ein junge in einem roten trikot versucht , die home base zu erreichen , während der catcher im blauen trikot versucht , ihn zu fangen ."
lstm_attention,8,15,14,14,15,0.1350805865929324,0.9459837930543082,a man in a vest is sitting in a chair and holding magazines .,ein mann in einer weste sitzt in einem stuhl und hält eine küchenmaschine .,ein mann in einer weste sitzt auf einem stuhl und hält magazine .
lstm_attention,9,13,12,12,13,0.42476748667891195,0.8185430020093918,a mother and her young song enjoying a beautiful day outside .,eine mutter und ihre tochter genießen einen schönen tag im freien .,eine mutter und ihr kleiner sohn genießen einen schönen tag im freien .
lstm_attention,10,18,16,16,18,0.7961114892929853,0.6977065540850163,"men playing volleyball , with one player missing the ball but hands still in the air .","männer spielen volleyball , wobei der andere blockt den ball in die luft gesprungen ist .","männer , die volleyball spielen , wobei ein mann den ball nicht trifft , während seine hände immer noch in der luft sind ."
